발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
쥐피에스23제사차,금융기관,신한투자증권(주),유동화증권 매입보장,(주)포스코이앤씨
지아이비두정,금융기관,신한은행,SPC 또는 유동화증권에 대한 신용보강,롯데건설
지아이비두정,금융기관,신한은행,SPC 또는 유동화증권에 대한 신용보강,롯데건설
트루에스에이치제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
경산로지스제일차,금융기관,케이비증권,유동화증권 매입보장,삼부토건
경산로지스제일차,금융기관,케이비증권,유동화증권 매입보장,삼부토건
기은센월곶제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해유건설
뉴딜아이디씨제사차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,하양에너지발전(주)
다올라이트블루제이차,금융기관,다올투자증권(주),유동화증권 매입보장,남흥건설
두교로지스제삼차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
디비안흥제이차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,동부건설
디에스오산제일차,금융기관,대신증권,유동화증권 매입보장,현대엔지니어링
마이에스상도제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
마일스톤솔루션,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,케이씨씨건설
밝은다올제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,(주)소노인터내셔널
비케이퍼스트제삼차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,해당없음
아이언송정제일차,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
아이에이안산제이차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,안강건설
알에이제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
알에이해운대제사차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,해운대마린원피에프브이(주)
엠에스케이제이차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,효성중공업
오엔지센하,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
올인제삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우방
위드지엠제삼차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,(주)소노인터내셔널
유니버스병점,금융기관,신영증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
이지플랜트제팔차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
제이에이치더블제일차,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
제이온파주,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,유호산업개발
챔피언루나,금융기관,유진투자증권,유동화증권 매입보장,디엘이앤씨 주식회사
카스타드제일차,금융기관,메리츠증권,유동화증권 매입보장,해당없음
카이로스제십삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,한국건설
케이티비씨씨제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,삼부토건
키스알에프선화제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
키스알에프선화제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
